,profile_name, subscriber , view , video ,country,category,since, last_subscriber_30 , last_view_30 , min_month_earnings , max_month_earnings , 2016_views , 2017_views , 2018_views , 2019_views , 2020_views , 2021_views , 2022_views , 2023_views , 2024_views , 2016_subscribers , 2017_subscribers , 2018_subscribers , 2019_subscribers , 2020_subscribers , 2021_subscribers , 2022_subscribers , 2023_subscribers , 2024_subscribers 
607,قناة نادي الاتحاد السعودي," 660,000.00 "," 130,859,166.00 "," 1,039.00 ",Saudi Arabia (SA),Sports,2018," 1,000.00 "," 524,643.00 ", 196.00 ," 1,180.00 ", -   , -   ," 1,778,226.00 "," 6,640,344.00 "," 7,265,232.00 "," 23,214,151.00 "," 34,008,276.00 "," 50,377,345.00 "," 7,575,592.00 ", -   , -   ," 50,123.00 "," 94,877.00 "," 40,000.00 "," 118,000.00 "," 120,000.00 "," 200,000.00 "," 37,000.00 "
608,Sa Hero   هيرو," 660,000.00 "," 62,663,688.00 ", 852.00 ,Saudi Arabia (SA),Gaming,2012, -   ," 13,948.00 ", -   , 5.00 ," 18,875,936.00 "," 16,104,918.00 "," 12,984,379.00 "," 8,893,111.00 "," 2,021,288.00 "," 3,241,709.00 "," 380,535.00 "," 122,652.00 "," 39,160.00 "," 296,754.00 "," 143,517.00 "," 122,553.00 "," 65,176.00 "," 2,000.00 "," 48,000.00 "," 8,000.00 "," 5,000.00 "," 5,000.00 "
609,I Media Entertainment   أي ميديا منوعات," 660,000.00 "," 306,230,897.00 "," 3,489.00 ",Saudi Arabia (SA),People & Blogs,2018," 9,000.00 "," 5,499,874.00 "," 2,060.00 "," 12,400.00 ", -   , -   , -   ," 67,883,516.00 "," 41,900,748.00 "," 49,631,210.00 "," 47,194,468.00 "," 45,213,678.00 "," 54,407,277.00 ", -   , -   , -   ," 158,000.00 "," 125,000.00 "," 93,000.00 "," 98,000.00 "," 87,000.00 "," 99,000.00 "
610,عمر حسين," 659,000.00 "," 60,899,773.00 ", 395.00 ,Saudi Arabia (SA),People & Blogs,2006, -   ," 15,740.00 ", 5.00 , 35.00 ," 12,919,348.00 "," 11,918,942.00 "," 15,834,970.00 "," 8,034,115.00 "," 2,578,510.00 "," 5,472,117.00 "," 3,701,111.00 "," 33,104.00 "," 407,556.00 "," 239,189.00 "," 146,250.00 "," 180,036.00 "," 56,525.00 "," 27,000.00 "," 17,000.00 "," 5,000.00 "," 5,000.00 "," 7,000.00 "
611,نواف," 659,000.00 "," 67,924,871.00 ", 326.00 ,Saudi Arabia (SA),Gaming,2019," 2,000.00 "," 596,903.00 ", 223.00 ," 1,340.00 ", -   , -   , -   , -   , -   ," 36,825,681.00 "," 12,024,521.00 "," 9,843,036.00 "," 9,231,633.00 ", -   , -   , -   , -   , -   ," 444,000.00 "," 104,000.00 "," 67,000.00 "," 44,000.00 "
612,Rotana Comedy," 659,000.00 "," 168,680,295.00 "," 4,445.00 ",Saudi Arabia (SA),Comedy,2022," 13,000.00 "," 5,767,106.00 "," 2,160.00 "," 13,000.00 ", -   , -   , -   , -   , -   , -   , -   ," 157,391,070.00 "," 11,289,225.00 ", -   , -   , -   , -   , -   , -   , -   ," 328,000.00 "," 331,000.00 "
613,دكتور مجنون  Dr.Crazy," 655,000.00 "," 13,500,086.00 ", 187.00 ,Saudi Arabia (SA),People & Blogs,2014, -   ," 12,176.00 ", 4.00 , 27.00 , -   ," 19,647,256.00 "," 13,712,629.00 "," 29,099,292.00 "," 1,725,438.00 "," 4,880,433.00 "," 1,558,820.00 "," 805,366.00 "," 269,436.00 ", -   ," 350,205.00 "," 190,058.00 "," 7,263.00 "," 74,000.00 "," 45,000.00 "," 6,000.00 ", -   ," 3,000.00 "
614,غانمكو نيوز," 654,000.00 "," 211,592.00 ", 2.00 ,Saudi Arabia (SA),News & Politics,2017, -   , 190.00 , -   , -   , -   , -   ," 804,767.00 "," 11,059,292.00 "," 37,018,739.00 "," 4,503,043.00 "," 11,162,182.00 "," 401,568.00 "," 42,413,635.00 ", -   , -   ," 157,455.00 "," 157,455.00 ", -   , -   ," 657,000.00 ", -   ," 3,000.00 "
615,ميركل Mi Racle I," 654,000.00 "," 111,644.00 ", 2.00 ,Saudi Arabia (SA),People & Blogs,2013," 5,000.00 "," 66,807.00 ", 25.00 , 150.00 ," 12,335,373.00 "," 21,869,715.00 "," 11,379,414.00 "," 18,168,246.00 "," 1,777,637.00 "," 16,593,588.00 "," 20,376,439.00 "," 69,224,462.00 "," 22,870.00 "," 157,189.00 "," 174,063.00 "," 114,868.00 "," 154,880.00 "," 11,000.00 "," 58,000.00 "," 2,000.00 "," 10,000.00 "," 4,000.00 "
616,Sam6 Time," 650,000.00 "," 36,786,790.00 ", 273.00 ,Saudi Arabia (SA),Gaming,2012," 4,000.00 "," 300,981.00 ", 112.00 , 677.00 ," 34,125,638.00 "," 9,124,150.00 "," 13,010,611.00 "," 6,751,258.00 "," 5,641,847.00 "," 3,118,581.00 "," 880,346.00 "," 304,835.00 "," 35,560,806.00 "," 392,946.00 "," 73,114.00 "," 92,254.00 "," 36,686.00 "," 26,000.00 "," 11,000.00 "," 3,000.00 "," 7,000.00 "," 14,000.00 "
617,Zubdah ," 644,000.00 "," 451,942,128.00 ", 428.00 ,Saudi Arabia (SA),Entertainment,2023," 74,000.00 "," 75,115,569.00 "," 28,200.00 "," 169,000.00 ", -   , -   , -   , -   , -   , -   , -   , -   ," 451,942,128.00 ", -   , -   , -   , -   , -   , -   , -   , -   ," 644,000.00 "
618,جنون المهارات   Freestyle Madness," 643,000.00 "," 29,997,069.00 ", 238.00 ,Saudi Arabia (SA),Entertainment,2013, -   ," 87,324.00 ", 32.00 , 196.00 , -   , -   , -   ," 9,235,744.00 "," 5,308,218.00 "," 5,766,662.00 "," 4,976,763.00 "," 3,249,707.00 "," 1,459,975.00 ", -   , -   , -   ," 324,000.00 "," 114,000.00 "," 99,000.00 "," 68,000.00 "," 27,000.00 "," 11,000.00 "
